Source Labware,Source Slot,Source Well,Source Aspiration Height Above Bottom (in mm),Dest Labware,Dest Slot,Dest Well,Volume (in ul)
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,D4,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,E4,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,F4,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,G4,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,H4,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,A5,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,B5,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,C5,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,D5,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,E5,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,F5,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,G5,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,H5,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,A6,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,B6,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,C6,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,D6,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,E6,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,F6,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,G6,40
opentrons_24_tuberack_generic_2ml_screwcap,9,A1,1,sarstedt_96_skirted_wellplate_200ul,4,H6,40
